iter	Passed	Remaining
636	91364	195493
637	91510	195356
638	91650	195205
639	91779	195031
640	91912	194866
641	92043	194697
642	92178	194535
643	92324	194398
644	92472	194264
645	92595	194077
646	92722	193899
647	92851	193727
648	92974	193542
649	93092	193346
650	93214	193158
651	93359	193018
652	93490	192851
653	93622	192685
654	93751	192512
655	93894	192369
656	94022	192194
657	94151	192024
658	94282	191854
659	94423	191707
660	94548	191528
661	94677	191358
662	94795	191163
663	94926	190995
664	95066	190847
665	95203	190693
666	95344	190545
667	95487	190402
668	95611	190223
669	95740	190051
670	95872	189887
671	96024	189763
672	96156	189598
673	96305	189467
674	96441	189310
675	96569	189138
676	96701	188974
677	96836	188817
678	96969	188655
679	97084	188458
680	97220	188302
681	97353	188140
682	97504	188013
683	97637	187852
684	97770	187689
685	97910	187543
686	98052	187398
687	98191	187249
688	98341	187120
689	98476	186962
690	98602	186787
691	98741	186638
692	98858	186447
693	98980	186265
694	99114	186107
695	99232	185918
696	99361	185749
697	99491	185584
698	99603	185384
699	99727	185207
700	99839	185009
701	99972	184850
702	100116	184710
703	100250	184552
704	100374	184376
705	100500	184202
706	100631	184040
707	100758	183870
708	100877	183684
709	101005	183517
710	101140	183361
711	101281	183217
712	101416	183061
713	101567	182936
714	101709	182792
715	101847	182643
716	101972	182469
717	102105	182310
718	102263	182197
719	102410	182063
720	102551	181918
721	102678	181750
722	102796	181564
723	102934	181414
724	103065	181252
725	103192	181084
726	103319	180916
727	103461	180773
728	103595	180617
729	103718	180441
730	103858	180295
731	104000	180153
732	104140	180007
733	104268	179841
734	104432	179737
735	104554	179561
736	104696	179418
737	104828	179258
738	104960	179101
739	105089	178936
740	105221	178777
741	105351	178614
742	105485	178459
743	105609	178286
744	105737	178121
745	105870	177964
746	105994	177791
747	106126	177634
748	106263	177484
749	106400	177333
750	106522	177158
751	106665	177018
752	106805	176874
753	106941	176722
754	107068	176556
755	107199	176396
756	107335	176245
757	107456	176069
758	107590	175914
759	107733	175775
760	107873	175630
761	107992	175452
762	108131	175307
763	108257	175138
764	108393	174988
765	108525	174831
766	108664	174685
767	108799	174532
768	108937	174385
769	109075	174237
770	109205	174076
771	109330	173908
772	109467	173759
773	109603	173609
774	109724	173436
775	109858	173282
776	109977	173105
777	110125	172973
778	110255	172813
779	110385	172654
780	110520	172501
781	110662	172361
782	110782	172186
783	110908	172021
784	111044	171871
785	111168	171703
786	111318	171575
787	111447	171414
788	111562	171232
789	111686	171063
790	111813	170900
791	111952	170756
792	112089	170608
793	112223	170455
794	112361	170309
795	112495	170157
796	112625	169998
797	112749	169830
798	112868	169656
799	113017	169526
800	113151	169374
801	113294	169236
802	113429	169084
803	113571	168944
804	113705	168793
805	113849	168655
806	113994	168519
807	114138	168382
808	114308	168283
809	114433	168118
810	114587	167995
811	114725	167849
812	114861	167700
813	114994	167547
814	115125	167390
815	115254	167232
816	115380	167068
817	115513	166915
818	115647	166764
819	115778	166608
820	115926	166476
821	116043	166300
822	116170	166140
823	116292	165970
824	116423	165814
825	116553	165658
826	116676	165492
827	116801	165328
828	116934	165175
829	117067	165023
830	117189	164855
831	117319	164697
832	117450	164543
833	117590	164400
834	117730	164258
835	117875	164123
836	118012	163976
837	118136	163812
838	118263	163652
839	118404	163510
840	118545	163369
841	118683	163224
842	118818	163076
843	118948	162920
844	119074	162758
845	119210	162611
846	119341	162456
847	119460	162285
848	119593	162134
849	119718	161971
850	119873	161850
851	120007	161699
852	120131	161536
853	120265	161386
854	120404	161243
855	120533	161086
856	120659	160926
857	120782	160761
858	120907	160599
859	121054	160467
860	121191	160321
861	121310	160152
862	121447	160007
863	121574	159848
864	121711	159702
865	121853	159563
866	121983	159408
867	122122	159265
868	122246	159103
869	122390	158966
870	122511	158800
871	122637	158641
872	122759	158476
873	122877	158306
874	123016	158163
875	123133	157993
876	123284	157866
877	123435	157738
878	123584	157608
879	123723	157466
880	123847	157305
881	123982	157156
882	124116	157007
883	124251	156860
884	124369	156691
885	124500	156539
886	124625	156379
887	124749	156218
888	124880	156065
889	125015	155918
890	125140	155758
891	125268	155602
892	125414	155468
893	125554	155328
894	125683	155173
895	125835	155047
896	125962	154890
897	126091	154735
898	126230	154594
899	126367	154449
900	126495	154293
901	126638	154156
902	126770	154006
903	126907	153860
904	127049	153722
905	127188	153580
906	127311	153419
907	127468	153299
908	127595	153143
909	127729	152994
910	127864	152848
911	128005	152708
912	128135	152555
913	128276	152416
914	128406	152262
915	128531	152105
916	128670	151962
917	128793	151802
918	128931	151659
919	129054	151499
920	129182	151344
921	129324	151206
922	129452	151050
923	129583	150899
924	129725	150762
925	129859	150615
926	130002	150477
927	130132	150325
928	130256	150166
929	130388	150017
930	130515	149861
931	130662	149728
932	130799	149584
933	130914	149416
934	131053	149274
935	131191	149132
936	131325	148985
937	131466	148846
938	131607	148706
939	131738	148556
940	131875	148411
941	132017	148274
942	132179	148158
943	132310	148008
944	132426	147840
945	132569	147703
946	132707	147561
947	132835	147408
948	132979	147271
949	133110	147121
950	133241	146971
951	133366	146815
952	133505	146674
953	133644	146532
954	133777	146384
955	133915	146242
956	134054	146100
957	134172	145936
958	134301	145784
959	134429	145631
960	134570	145493
961	134703	145344
962	134840	145202
963	134988	145070
964	135116	144917
965	135250	144770
966	135382	144623
967	135500	144459
968	135646	144325
969	135764	144162
970	135893	144010
971	136030	143867
972	136159	143715
973	136281	143557
974	136418	143414
975	136561	143277
976	136694	143130
977	136826	142982
978	136960	142835
979	137090	142685
980	137216	142531
981	137338	142372
982	137449	142203
983	137592	142067
984	137729	141924
985	137888	141804
986	138024	141660
987	138147	141503
988	138266	141341
989	138413	141209
990	138555	141072
991	138693	140930
992	138851	140808
993	138998	140676
994	139136	140534
995	139300	140419
996	139432	140271
997	139557	140116
998	139681	139960
999	139810	139810
1000	139942	139662
1001	140095	139536
1002	140219	139381
1003	140351	139233
1004	140469	139071
1005	140617	138940
1006	140750	138793
1007	140883	138646
1008	141032	138516
1009	141183	138388
1010	141333	138258
1011	141480	138125
1012	141607	137972
1013	141735	137821
1014	141872	137678
1015	142010	137537
1016	142142	137390
1017	142273	137241
1018	142411	137101
1019	142546	136956
1020	142684	136815
1021	142818	136669
1022	142951	136524
1023	143094	136386
1024	143255	136267
1025	143408	136140
1026	143572	136023
1027	143751	135920
1028	143905	135794
1029	144066	135673
1030	144256	135581
1031	144433	135475
1032	144575	135338
1033	144724	135207
1034	144876	135077
1035	145019	134940
1036	145140	134783
1037	145283	134645
1038	145421	134504
1039	145558	134362
1040	145715	134237
1041	145883	134123
1042	146029	133988
1043	146169	133848
1044	146318	133717
1045	146470	133588
1046	146631	133467
1047	146802	133354
1048	146957	133228
1049	147118	133106
1050	147270	132977
1051	147412	132839
1052	147564	132709
1053	147716	132580
1054	147862	132445
1055	148004	132307
1056	148138	132161
1057	148266	132010
1058	148401	131866
1059	148546	131729
1060	148689	131592
1061	148806	131432
1062	148936	131282
1063	149057	131126
1064	149185	130974
1065	149351	130857
1066	149510	130733
1067	149639	130584
1068	149766	130432
1069	149889	130278
1070	150012	130123
1071	150149	129980
1072	150273	129825
1073	150394	129669
1074	150523	129520
1075	150660	129377
1076	150790	129228
1077	150917	129077
1078	151032	128916
1079	151169	128774
1080	151288	128616
1081	151416	128466
1082	151556	128326
1083	151673	128166
1084	151814	128028
1085	151963	127896
1086	152089	127744
1087	152205	127584
1088	152326	127428
1089	152442	127268
1090	152566	127115
1091	152687	126960
1092	152817	126811
1093	152933	126652
1094	153064	126505
1095	153183	126348
1096	153314	126201
1097	153435	126046
1098	153573	125905
1099	153694	125749
1100	153820	125599
1101	153945	125447
1102	154079	125303
1103	154208	125154
1104	154337	125006
1105	154471	124861
1106	154599	124712
1107	154724	124561
1108	154864	124422
1109	154996	124276
1110	155123	124127
1111	155261	123985
1112	155404	123848
1113	155527	123695
1114	155658	123549
1115	155802	123413
1116	155934	123267
1117	156057	123115
1118	156184	122965
1119	156303	122810
1120	156456	122680
1121	156592	122538
1122	156729	122397
1123	156868	122256
1124	157012	122120
1125	157139	121971
1126	157271	121826
1127	157403	121680
1128	157524	121527
1129	157650	121376
1130	157789	121237
1131	157921	121092
1132	158056	120948
1133	158175	120793
1134	158301	120643
