iter	PRAUC	Logloss
302	0.9599753503	0.2891803614
303	0.9600768176	0.2888644514
304	0.9603113495	0.2882682647
305	0.9605545309	0.2875410638
306	0.9607197277	0.2869944415
307	0.960821008	0.2866974004
308	0.9609504569	0.2862729483
309	0.9611277028	0.2857491566
310	0.9612061119	0.2854623901
311	0.9613752357	0.2849546961
312	0.9615396157	0.2844465073
313	0.9617287879	0.2839496584
314	0.9618939508	0.2834418998
315	0.9619985033	0.2831455612
316	0.9621436576	0.2827205525
317	0.9622878189	0.2823316821
318	0.962400543	0.2820087715
319	0.9624696339	0.2817819553
320	0.9626113515	0.2812435982
321	0.9627395365	0.280819528
322	0.9628628817	0.2804056285
323	0.9630240838	0.2799082831
324	0.9631385374	0.2795886111
325	0.963242311	0.2792854993
326	0.9633103763	0.2790673595
327	0.9634272472	0.278662125
328	0.9635824986	0.2782249466
329	0.9637240088	0.2777107582
330	0.9638137078	0.2774751848
331	0.9639023884	0.2771938413
332	0.9640544439	0.2767662385
333	0.9641625864	0.2763897
334	0.9642972707	0.275966085
335	0.9644037987	0.2756301702
336	0.9645187716	0.275312109
337	0.9645919894	0.2750609778
338	0.9646795832	0.274789435
339	0.9648020065	0.2743374661
340	0.9649187257	0.273901435
341	0.9650586418	0.2734496017
342	0.9651536437	0.2731566392
343	0.9652591015	0.2727955097
344	0.9653296606	0.2725540729
345	0.965425503	0.2722363691
346	0.9655274822	0.2719031406
347	0.965611554	0.2716694763
348	0.96574806	0.2711762394
349	0.9658833074	0.2707465138
350	0.9660654213	0.2701958675
351	0.9661623942	0.2699103759
352	0.9662461841	0.2695382307
353	0.966356136	0.2692061662
354	0.9664386411	0.2689084094
355	0.9665509618	0.2685641225
356	0.9666532842	0.2682144903
357	0.966729624	0.2679649252
358	0.9668058742	0.2677036292
359	0.9668970352	0.2674191419
360	0.9669853371	0.2671293442
361	0.9670817293	0.2667131752
362	0.9671538863	0.2664890118
363	0.9672435171	0.2662034815
364	0.9673515921	0.2658756845
365	0.9674183625	0.2655917397
366	0.9675242396	0.2652904056
367	0.9675758794	0.2651234736
368	0.9676803486	0.2648094664
369	0.9677557629	0.2646028836
370	0.9678049616	0.2643454022
371	0.9679236657	0.2639481741
372	0.9680110468	0.2635841388
373	0.9681323665	0.2631811695
374	0.9682340622	0.2627512623
375	0.9683692558	0.2623805973
376	0.9684346102	0.2621904629
377	0.9685594472	0.2617903484
378	0.9686704224	0.2613503249
379	0.9687389666	0.2610910615
380	0.9688322319	0.2608471219
381	0.9689196465	0.2605451837
382	0.9690147953	0.2601604295
383	0.9691508373	0.2597657151
384	0.9692074508	0.259545037
385	0.9692706743	0.2592961895
386	0.9693217372	0.2591244118
387	0.9694398518	0.2586978739
388	0.9694898659	0.2585418627
389	0.9695480827	0.2583394428
390	0.969610261	0.2581777966
391	0.9697241273	0.2578223774
392	0.9698047891	0.257537654
393	0.9699041775	0.2571665155
394	0.9699893719	0.2568492795
395	0.9701062395	0.2565351146
396	0.9701679041	0.2562985791
397	0.9702620606	0.2560262848
398	0.9704245587	0.2554520482
399	0.9704935517	0.2552512423
400	0.9706400956	0.2547702143
401	0.9707734577	0.2543504305
402	0.9708550957	0.2540237581
403	0.9709302965	0.2537484154
404	0.9710489051	0.2533755262
405	0.9711157697	0.2531144474
406	0.9712312948	0.2527415074
407	0.9712883612	0.2525280246
408	0.9713638095	0.2523274497
409	0.9714075604	0.2521769076
410	0.9714495989	0.2520641073
411	0.9715291175	0.2517529592
412	0.971597462	0.2515536128
413	0.9716788775	0.251242725
414	0.971786683	0.2508217301
415	0.9718499752	0.2505365275
416	0.9719116332	0.2503127878
417	0.9719886359	0.249995436
418	0.9721449973	0.2494893101
419	0.9722398215	0.2491400042
420	0.9723527162	0.2487740366
421	0.9724302407	0.2485063274
422	0.9724838132	0.2482570764
423	0.9725919303	0.2478718516
424	0.9726399675	0.2476714238
425	0.9727787737	0.2472133585
426	0.9728673177	0.2469689831
427	0.9729449492	0.2466629805
428	0.9730147819	0.2463872505
429	0.9730856978	0.2461009613
430	0.9731476094	0.2458430244
431	0.9732370486	0.2455589088
432	0.973300555	0.2453299492
433	0.9734246609	0.2448841532
434	0.973519801	0.2444872546
435	0.9735874128	0.2442868849
436	0.973720199	0.2437954053
437	0.9738299395	0.2433131385
438	0.9739373246	0.2428442002
439	0.9739988432	0.2426025358
440	0.9740471465	0.2424617788
441	0.9740785489	0.2423437714
442	0.9741626427	0.242016035
443	0.9742397979	0.2417075952
444	0.9743175348	0.2413473307
445	0.9743913097	0.2410990898
446	0.9744665485	0.240765398
447	0.9745299915	0.2405201998
448	0.974598661	0.2402584474
449	0.9746963203	0.2399597017
450	0.9747678493	0.2396932081
451	0.9748472944	0.2394722853
452	0.9748932266	0.2392860917
453	0.9749206853	0.2391906131
454	0.974960802	0.2389974124
455	0.9750152465	0.2387167052
456	0.9750737001	0.2384445218
457	0.9751460062	0.2381870007
458	0.9752135043	0.2379679977
459	0.9752508353	0.237818453
460	0.9754058719	0.2372095371
461	0.975497524	0.2368963563
462	0.9755503089	0.2366919255
463	0.9755992085	0.2365432501
464	0.9756592541	0.2363245863
465	0.9757863706	0.2358184959
466	0.975826002	0.2356696855
467	0.975924453	0.2353066336
468	0.9759760899	0.2351273653
469	0.9760329804	0.2349182482
470	0.9761015844	0.2346194335
471	0.9761597719	0.2344417981
472	0.9762437068	0.2340104526
473	0.976267111	0.2338923598
474	0.9763280984	0.2336877965
475	0.9763711072	0.2335139088
476	0.9764391356	0.2332047419
477	0.9764952121	0.2330068581
478	0.9765346807	0.232847643
479	0.9766160563	0.2325816434
480	0.9766769008	0.2323755544
481	0.9767310163	0.2321335896
482	0.9768050496	0.2319041909
483	0.9768569625	0.2316949691
484	0.9768994156	0.2315166705
485	0.9769701617	0.2312090872
486	0.9770315503	0.2310343685
487	0.9770792226	0.2308823018
488	0.9771662467	0.2305238182
489	0.9772298381	0.230246715
490	0.9772856878	0.2300287867
491	0.9773197618	0.2298811966
492	0.9773861532	0.2295989951
493	0.9774285431	0.2294118792
494	0.9774742238	0.2292277927
495	0.9775227021	0.2290384177
496	0.9776263769	0.2285195419
497	0.9776856906	0.2283172311
498	0.9777489385	0.2280802114
499	0.9778133957	0.2278582916
500	0.9778669315	0.2276199703
501	0.9779064442	0.2274305034
502	0.9779618245	0.2272788167
503	0.9779945009	0.2271686042
504	0.9780464737	0.2269318103
505	0.978112353	0.2266661592
506	0.9781588397	0.2264972313
507	0.9781958073	0.226340408
508	0.9782538518	0.2260871921
509	0.9783096146	0.2258831205
510	0.9783726418	0.2256574624
511	0.9784535731	0.2253205823
512	0.9785480495	0.2249440042
513	0.9786240766	0.2246708603
514	0.9786746324	0.2244839603
515	0.9787622538	0.2241329016
516	0.9788078847	0.2239147483
517	0.9788799163	0.2236562472
518	0.9789345066	0.223435905
519	0.9789833497	0.2232420717
